County,2015,2016,2017,2018,2019
"Hood County, TX",4.5,4.7,4.2,3.7,3.4
"Hopkins County, TX",4.2,4,3.6,3.4,3.1
"Houston County, TX",4.5,4.6,4.4,3.8,3.1
"Howard County, TX",4.6,5.5,4.3,3.3,3.1
"Hudspeth County, TX",5.7,6,5.8,4.6,4.3
"Hunt County, TX",4.8,4.3,4,3.8,3.6
"Hutchinson County, TX",4.4,5.6,6.1,5,4.4
"Irion County, TX",3.6,3.2,3.1,3,2.4
"Jack County, TX",4.2,5,3.8,2.5,3.2
"Jackson County, TX",3.8,4.7,4,3.3,3
"Jasper County, TX",7.5,7.7,7.5,6.6,6.1
"Jeff Davis County, TX",3.3,3,3.2,2.9,2.9
"Jefferson County, TX",7,7,7.4,6.4,5.8
"Jim Hogg County, TX",7.2,9.6,7.3,5.7,4.8
"Jim Wells County, TX",7.9,10.6,7.6,5.5,4.7
"Johnson County, TX",4.4,4.4,3.8,3.5,3.2
"Jones County, TX",5.5,5.8,5.4,4.8,4.3
"Karnes County, TX",4.3,4.9,3.5,2.9,2.5
"Kaufman County, TX",4.1,3.8,3.6,3.5,3.2
"Kendall County, TX",3.3,3.2,3.1,2.9,2.7
"Kenedy County, TX",3.2,4.6,3.3,3.7,3.5
"Kent County, TX",2.6,3,2.7,2.5,2.4
"Kerr County, TX",3.7,3.6,3.4,3.3,3
"Kimble County, TX",3.7,3.8,3.6,3,3
"King County, TX",3.5,3.9,3.7,2.9,2.1
"Kinney County, TX",6.4,5.8,5.6,4.4,3.6
"Kleberg County, TX",5.9,6.7,6,5,4.3
"Knox County, TX",3.8,4.2,4,3.6,3.2
"Lamar County, TX",4.8,4.6,4.2,3.8,3.4
"Lamb County, TX",9,6.5,5.2,4.4,3.8
"Lampasas County, TX",4.4,4.2,3.8,3.8,3.3
"La Salle County, TX",4.2,5.1,3.7,2.4,2.4
"Lavaca County, TX",3.8,4.2,3.6,3.1,3
"Lee County, TX",3.6,3.8,3.3,3.1,2.6
"Leon County, TX",5.4,6.5,6.4,5,4.4
"Liberty County, TX",7,7.5,7.2,5.9,5
"Limestone County, TX",5.1,5.6,5.6,4.7,3.9
"Lipscomb County, TX",3.9,4.4,3.2,2.8,2.7
"Live Oak County, TX",4,5.9,4.7,3.8,3.1
"Llano County, TX",4.3,4.2,3.8,3.7,3.5
"Loving County, TX",5.2,4.7,5,1.5,0.8
"Lubbock County, TX",3.4,3.4,3.2,3.1,2.8
"Lynn County, TX",4.1,4,3.8,3.3,3
"McCulloch County, TX",4.8,4.5,3.6,3.3,5.2
"McLennan County, TX",4.1,4,3.9,3.6,3.3
"McMullen County, TX",2.1,2.1,1.9,1.8,1.6
"Madison County, TX",4.3,5.1,4.8,4.4,4.2
"Marion County, TX",6.5,7,5.7,4.5,4.2
"Martin County, TX",3.5,4.4,3.3,2.5,2.6
"Mason County, TX",3.9,3.6,3.4,3.1,3.2
"Matagorda County, TX",6.8,7.3,7.4,6.2,5.7
"Maverick County, TX",10.7,11.3,9.4,8.2,7.6
"Medina County, TX",4.4,4.4,3.9,3.5,3.2
"Menard County, TX",5.3,4.5,4.9,4.1,3.4
"Midland County, TX",3.5,4.4,3,2.1,2.1
"Milam County, TX",5.3,5.2,5.1,5.5,5
"Mills County, TX",3.7,4.2,3.6,3.5,3.3
"Mitchell County, TX",5.7,7,5.5,4.2,3.7
