County,Description,Unit,2015,2016,2017,2018,2019
"Franklin, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,427894,420121,443216,444763,421511
"Franklin, TX",Chain-type quantity indexes for real GDP ,Quantity index,127.66,125.341,132.232,132.693,125.756
"Franklin, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,377610,357961,397972,410145,383394
"Freestone, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,2061920,1830924,1800340,1295729,1343686
"Freestone, TX",Chain-type quantity indexes for real GDP ,Quantity index,104.05,92.393,90.85,65.386,67.806
"Freestone, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,1605424,1337120,1444839,1125096,1102653
"Frio, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,1525343,1326383,1403563,1486211,1447371
"Frio, TX",Chain-type quantity indexes for real GDP ,Quantity index,135.585,117.9,124.761,132.107,128.655
"Frio, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,1193678,971240,1156360,1332370,1187474
"Gaines, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,3265265,3270659,3510975,3182796,3433668
"Gaines, TX",Chain-type quantity indexes for real GDP ,Quantity index,88.414,88.56,95.067,86.181,92.974
"Gaines, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,1860940,1664748,2183323,2306474,2088780
"Galveston, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,13856734,14359672,15625301,15820047,15904239
"Galveston, TX",Chain-type quantity indexes for real GDP ,Quantity index,98.946,102.538,111.575,112.966,113.567
"Galveston, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,13611524,13529002,15573070,16961305,16583042
"Garza, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,402741,406053,362314,341549,383806
"Garza, TX",Chain-type quantity indexes for real GDP ,Quantity index,77.693,78.332,69.894,65.888,74.04
"Garza, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,266158,247988,257867,274432,272840
"Gillespie, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,883675,884485,898849,944662,999318
"Gillespie, TX",Chain-type quantity indexes for real GDP ,Quantity index,108.921,109.021,110.791,116.438,123.175
"Gillespie, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,950778,972725,1006309,1081394,1176327
"Glasscock, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,3425362,3761287,4141438,5151922,6124795
"Glasscock, TX",Chain-type quantity indexes for real GDP ,Quantity index,162.826,178.794,196.865,244.899,291.145
"Glasscock, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,1562350,1443653,2111034,3267426,2922296
"Goliad, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,326614,319943,340947,335428,327043
"Goliad, TX",Chain-type quantity indexes for real GDP ,Quantity index,66.875,65.51,69.81,68.68,66.963
"Goliad, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,317062,301307,335767,345138,335813
"Gonzales, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,5353546,5138220,4832172,4763011,5298943
"Gonzales, TX",Chain-type quantity indexes for real GDP ,Quantity index,147.167,141.248,132.835,130.934,145.666
"Gonzales, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,2860999,2402863,2786771,3194602,2916930
"Gray, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,1210408,1026230,1044909,1064530,1066752
"Gray, TX",Chain-type quantity indexes for real GDP ,Quantity index,97.07,82.299,83.797,85.371,85.549
"Gray, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,1150912,957294,1022627,1076831,1068702
"Grayson, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,4415646,4507768,4494034,4730225,4761088
"Grayson, TX",Chain-type quantity indexes for real GDP ,Quantity index,105.316,107.513,107.185,112.819,113.555
"Grayson, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,4557702,4688826,4755208,5118354,5249427
"Gregg, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,7481577,6895241,6877392,7228939,7338218
"Gregg, TX",Chain-type quantity indexes for real GDP ,Quantity index,88.892,81.926,81.714,85.891,87.189
"Gregg, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,7644113,7070341,7213602,7754556,7977352
"Grimes, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,1201568,1103771,1054041,1085019,1068440
"Grimes, TX",Chain-type quantity indexes for real GDP ,Quantity index,86.291,79.268,75.696,77.921,76.73
"Grimes, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,1188006,1079185,1061464,1129322,1132344
"Guadalupe, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,6250775,5563857,5332968,5506820,6661082
"Guadalupe, TX",Chain-type quantity indexes for real GDP ,Quantity index,149.282,132.877,127.363,131.515,159.081
"Guadalupe, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,6821631,6106363,5923716,6194341,7589410
"Hale, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,1234978,1170499,1159264,1186963,1319258
"Hale, TX",Chain-type quantity indexes for real GDP ,Quantity index,89.694,85.011,84.195,86.206,95.815
"Hale, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,1180254,1102508,1136394,1200894,1335942
"Hall, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,81976,71260,76042,65303,80751
"Hall, TX",Chain-type quantity indexes for real GDP ,Quantity index,102.152,88.798,94.757,81.375,100.625
"Hall, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,84935,74423,81592,71034,88943
"Hamilton, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,207501,212900,220228,231483,241154
"Hamilton, TX",Chain-type quantity indexes for real GDP ,Quantity index,91.469,93.849,97.08,102.041,106.304
"Hamilton, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,221701,231123,242849,260936,279360
"Hansford, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,997102,871616,777921,694145,694101
"Hansford, TX",Chain-type quantity indexes for real GDP ,Quantity index,135.398,118.358,105.635,94.259,94.253
"Hansford, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,763060,586722,576724,520339,500774
"Hardeman, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,195118,180598,193026,202761,204242
"Hardeman, TX",Chain-type quantity indexes for real GDP ,Quantity index,92.915,86.001,91.919,96.555,97.26
"Hardeman, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,155764,139937,162254,181748,173688
"Hardin, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,1308316,1333290,1337981,1391106,1346032
"Hardin, TX",Chain-type quantity indexes for real GDP ,Quantity index,89.884,91.6,91.922,95.572,92.475
"Hardin, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,1266173,1293000,1339025,1434656,1402512
"Harris, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,368946321,364787186,366708264,376052804,369729664
"Harris, TX",Chain-type quantity indexes for real GDP ,Quantity index,110.53,109.284,109.86,112.659,110.765
"Harris, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,372100075,366894613,379730522,402867349,400682378
"Harrison, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,4239416,4245572,4413319,4525754,4348403
"Harrison, TX",Chain-type quantity indexes for real GDP ,Quantity index,100.504,100.65,104.627,107.293,103.088
"Harrison, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,3989776,3946488,4285276,4544244,4286518
"Hartley, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,1125157,1096439,1058208,954129,967844
"Hartley, TX",Chain-type quantity indexes for real GDP ,Quantity index,172.137,167.743,161.894,145.971,148.069
"Hartley, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,915854,778721,813562,717153,709570
"Haskell, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,207326,196592,263012,313269,386995
"Haskell, TX",Chain-type quantity indexes for real GDP ,Quantity index,100.441,95.241,127.419,151.767,187.484
"Haskell, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,177734,164521,233055,290922,351376
"Hays, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,5645323,5914830,6295008,6727602,7223453
"Hays, TX",Chain-type quantity indexes for real GDP ,Quantity index,119.385,125.085,133.125,142.273,152.759
"Hays, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,6063316,6453768,6981715,7638044,8422386
"Hemphill, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,1541301,1282453,1117685,932166,949362
"Hemphill, TX",Chain-type quantity indexes for real GDP ,Quantity index,134.068,111.553,97.22,81.083,82.579
"Hemphill, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,878344,645034,687658,662763,567791
"Henderson, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,1537715,1566667,1658766,1655240,1734206
"Henderson, TX",Chain-type quantity indexes for real GDP ,Quantity index,99.423,101.295,107.249,107.021,112.127
"Henderson, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,1569108,1613580,1761622,1814991,1931827
"Hidalgo, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,18782537,18828192,18993865,19445191,19933787
"Hidalgo, TX",Chain-type quantity indexes for real GDP ,Quantity index,106.094,106.352,107.287,109.837,112.597
"Hidalgo, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,19667959,19931394,20492754,21491691,22550219
"Hill, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,899338,866086,874961,936047,955979
"Hill, TX",Chain-type quantity indexes for real GDP ,Quantity index,113.18,108.996,110.113,117.8,120.309
"Hill, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,897343,868544,906653,1002509,1044774
"Hockley, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,2294135,2187913,2361133,2342738,2450108
"Hockley, TX",Chain-type quantity indexes for real GDP ,Quantity index,82.019,78.222,84.414,83.757,87.595
"Hockley, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,1547788,1360876,1696494,1854523,1730115
"Hood, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,2017416,1905704,2078664,2263976,2423838
"Hood, TX",Chain-type quantity indexes for real GDP ,Quantity index,106.673,100.766,109.911,119.71,128.162
"Hood, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,1982030,1863836,2108082,2366087,2560236
"Hopkins, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,1315214,1322274,1385347,1473671,1578948
"Hopkins, TX",Chain-type quantity indexes for real GDP ,Quantity index,109.393,109.98,115.226,122.573,131.329
"Hopkins, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,1340441,1343110,1436238,1551790,1692725
"Houston, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,935621,925249,950677,973384,993230
"Houston, TX",Chain-type quantity indexes for real GDP ,Quantity index,122.726,121.366,124.701,127.679,130.283
"Houston, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,852882,837260,893465,950510,980032
"Howard, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,3269135,3906605,5341101,6863771,8579239
"Howard, TX",Chain-type quantity indexes for real GDP ,Quantity index,122.336,146.191,199.872,256.853,321.048
"Howard, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,2233144,2426103,3982453,6066486,6107950
"Hudspeth, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,164359,171563,153806,174287,174936
"Hudspeth, TX",Chain-type quantity indexes for real GDP ,Quantity index,134.193,140.076,125.577,142.3,142.829
"Hudspeth, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,163795,168226,153763,176257,179318
"Hunt, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,3205870,3729570,4104482,4311205,4429962
"Hunt, TX",Chain-type quantity indexes for real GDP ,Quantity index,115.056,133.852,147.307,154.726,158.988
"Hunt, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,3453187,4075198,4540715,4836131,5074247
"Hutchinson, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,6515264,10280477,7318879,6587439,6212374
"Hutchinson, TX",Chain-type quantity indexes for real GDP ,Quantity index,471.316,743.692,529.449,476.537,449.404
"Hutchinson, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,5228848,6054903,5325802,5861247,4563845
"Irion, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,2275035,2017515,1818914,1572524,2065930
"Irion, TX",Chain-type quantity indexes for real GDP ,Quantity index,237.33,210.465,189.748,164.044,215.516
"Irion, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,1097500,824353,980719,1048926,1045438
"Jack, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,791985,667898,678490,726618,581917
"Jack, TX",Chain-type quantity indexes for real GDP ,Quantity index,124.207,104.746,106.408,113.955,91.262
"Jack, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,605646,484371,535809,597934,462757
"Jackson, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,642964,622041,642936,704397,748056
"Jackson, TX",Chain-type quantity indexes for real GDP ,Quantity index,111.491,107.863,111.486,122.143,129.714
"Jackson, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,617948,593246,634455,729816,752620
"Jasper, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,1003949,955839,959825,974838,962875
"Jasper, TX",Chain-type quantity indexes for real GDP ,Quantity index,99.502,94.734,95.129,96.617,95.431
"Jasper, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,1001308,954916,991924,1040964,1032071
"Jeff Davis, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,71446,72648,73125,76833,77272
"Jeff Davis, TX",Chain-type quantity indexes for real GDP ,Quantity index,101.388,103.094,103.772,109.033,109.655
"Jeff Davis, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,75004,77520,79271,85068,87148
"Jefferson, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,18454389,19308328,20454644,21236111,21053316
"Jefferson, TX",Chain-type quantity indexes for real GDP ,Quantity index,77.261,80.837,85.636,88.907,88.142
"Jefferson, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,18139860,18123966,20496467,23093357,21715701
"Jim Hogg, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,205584,211621,203831,198130,202804
"Jim Hogg, TX",Chain-type quantity indexes for real GDP ,Quantity index,104.138,107.196,103.251,100.363,102.73
"Jim Hogg, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,182273,183524,187487,191711,192102
"Jim Wells, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,1759843,1338833,1426994,1621917,1624658
"Jim Wells, TX",Chain-type quantity indexes for real GDP ,Quantity index,70.139,53.36,56.873,64.642,64.751
"Jim Wells, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,1828649,1383450,1498077,1685874,1718159
"Johnson, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,6069683,5873716,6307378,6285647,6440980
"Johnson, TX",Chain-type quantity indexes for real GDP ,Quantity index,97.418,94.273,101.233,100.885,103.378
"Johnson, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,5452635,5230235,5913002,6169751,6309490
"Jones, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,430255,427951,424186,414381,423703
"Jones, TX",Chain-type quantity indexes for real GDP ,Quantity index,86.551,86.088,85.33,83.358,85.233
"Jones, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,425157,423351,433626,439368,452954
"Karnes, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,11752486,11168471,12329743,12127059,13206009
"Karnes, TX",Chain-type quantity indexes for real GDP ,Quantity index,210.901,200.421,221.26,217.623,236.985
"Karnes, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,5520615,4458584,6479696,7874957,6529912
"Kaufman, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,2844709,2945958,3088966,3238982,3441267
"Kaufman, TX",Chain-type quantity indexes for real GDP ,Quantity index,100.935,104.528,109.602,114.924,122.102
"Kaufman, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,3041705,3166452,3397018,3664141,3999456
"Kendall, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,1606401,1708177,1810472,1932873,2006505
"Kendall, TX",Chain-type quantity indexes for real GDP ,Quantity index,118.695,126.215,133.773,142.818,148.258
"Kendall, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,1719963,1862328,2002406,2185128,2324745
"Kenedy, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,284641,258756,288646,287969,358563
"Kenedy, TX",Chain-type quantity indexes for real GDP ,Quantity index,95.267,86.603,96.607,96.381,120.008
"Kenedy, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,217771,182427,223281,235426,274967
"Kent, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,427698,463930,425919,391393,388601
"Kent, TX",Chain-type quantity indexes for real GDP ,Quantity index,80.73,87.569,80.394,73.877,73.35
"Kent, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,206389,191084,227276,254592,196808
"Kerr, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,1701666,1663825,1724559,1843176,1926699
"Kerr, TX",Chain-type quantity indexes for real GDP ,Quantity index,105.623,103.274,107.044,114.406,119.591
"Kerr, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,1824126,1818766,1916362,2089877,2242322
"Kimble, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,164441,152772,128655,143425,141666
"Kimble, TX",Chain-type quantity indexes for real GDP ,Quantity index,115.872,107.649,90.656,101.063,99.823
"Kimble, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,166764,153512,132375,150858,152184
"King, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,198365,249410,230951,208560,199078
"King, TX",Chain-type quantity indexes for real GDP ,Quantity index,109.209,137.311,127.149,114.821,109.601
"King, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,103617,110801,131590,141278,106690
"Kinney, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,115537,110319,111639,98257,102000
"Kinney, TX",Chain-type quantity indexes for real GDP ,Quantity index,148.215,141.522,143.214,126.047,130.848
"Kinney, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,122055,116049,119368,107574,115073
"Kleberg, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,1135287,1071704,1070607,1029230,1085554
"Kleberg, TX",Chain-type quantity indexes for real GDP ,Quantity index,93.128,87.912,87.822,84.428,89.049
"Kleberg, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,1121870,1057901,1084113,1069544,1142522
"Knox, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,150335,149498,151167,159874,154658
"Knox, TX",Chain-type quantity indexes for real GDP ,Quantity index,97.069,96.529,97.607,103.229,99.861
"Knox, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,133726,127474,135780,148555,142437
"Lamar, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,2114983,2246040,2362551,2522641,2440582
"Lamar, TX",Chain-type quantity indexes for real GDP ,Quantity index,103.146,109.538,115.22,123.027,119.025
"Lamar, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,2307414,2472702,2620153,2814082,2779481
"Lamb, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,841286,792919,817389,761949,744569
"Lamb, TX",Chain-type quantity indexes for real GDP ,Quantity index,98.949,93.26,96.138,89.618,87.574
"Lamb, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,832067,741829,799057,751887,737780
"Lampasas, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,427642,415231,425510,442842,466848
"Lampasas, TX",Chain-type quantity indexes for real GDP ,Quantity index,96.282,93.488,95.802,99.704,105.109
"Lampasas, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,459193,454535,471774,500258,541508
"La Salle, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,8969594,7339238,7095201,7076684,7695106
"La Salle, TX",Chain-type quantity indexes for real GDP ,Quantity index,255.409,208.985,202.036,201.509,219.118
"La Salle, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,4226718,2929025,3716306,4532755,3784649
"Lavaca, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,1667163,1509168,1454013,1526095,1663365
"Lavaca, TX",Chain-type quantity indexes for real GDP ,Quantity index,171.663,155.395,149.715,157.138,171.272
"Lavaca, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,1196469,1033524,1090631,1234702,1229547
"Lee, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,1029071,947417,936903,916621,1067119
"Lee, TX",Chain-type quantity indexes for real GDP ,Quantity index,109.002,100.353,99.24,97.091,113.033
"Lee, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,928448,846673,884267,909212,1044986
"Leon, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,1386031,1162746,960467,930202,920030
"Leon, TX",Chain-type quantity indexes for real GDP ,Quantity index,118.325,99.263,81.995,79.411,78.543
"Leon, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,1034233,817256,751623,785914,736734
"Liberty, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,1812037,1814462,1881236,2057344,2106176
"Liberty, TX",Chain-type quantity indexes for real GDP ,Quantity index,92.303,92.426,95.828,104.798,107.286
"Liberty, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,1815531,1826950,1948426,2194617,2287427
"Limestone, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,1518062,1428980,1386814,1504481,1517786
"Limestone, TX",Chain-type quantity indexes for real GDP ,Quantity index,94.099,88.577,85.963,93.257,94.082
"Limestone, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,1415900,1296212,1332611,1514641,1523472
"Lipscomb, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,910140,820095,877397,791616,864588
"Lipscomb, TX",Chain-type quantity indexes for real GDP ,Quantity index,107.147,96.546,103.292,93.194,101.784
"Lipscomb, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,508919,412028,518824,523700,514788
"Live Oak, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,2514898,2258631,2121691,1981843,2521637
"Live Oak, TX",Chain-type quantity indexes for real GDP ,Quantity index,148.719,133.564,125.466,117.196,149.117
"Live Oak, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,1395393,1088095,1255656,1385958,1452318
"Llano, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,646025,664326,680456,672888,686811
"Llano, TX",Chain-type quantity indexes for real GDP ,Quantity index,128.303,131.938,135.142,133.638,136.404
"Llano, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,695682,722172,753978,765163,803973
"Loving, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,2293867,4127854,6011028,7968507,10394525
"Loving, TX",Chain-type quantity indexes for real GDP ,Quantity index,306.333,551.251,802.739,1064.149,1388.13
"Loving, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,1001018,1496551,2958533,4939620,4758698
"Lubbock, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,11823537,11977790,12033068,12359529,12543623
"Lubbock, TX",Chain-type quantity indexes for real GDP ,Quantity index,106.641,108.032,108.53,111.475,113.135
"Lubbock, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,12530891,12876001,13146470,13836149,14391282
"Lynn, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,172002,198645,203992,226082,281067
"Lynn, TX",Chain-type quantity indexes for real GDP ,Quantity index,84.332,97.395,100.017,110.848,137.807
"Lynn, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,153829,174271,186753,213945,265367
"McCulloch, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,352416,325606,359901,381059,334775
"McCulloch, TX",Chain-type quantity indexes for real GDP ,Quantity index,102.074,94.308,104.242,110.37,96.964
"McCulloch, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,352187,325770,377437,413537,369032
"McLennan, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,10444611,10625710,11280567,11700937,11821292
"McLennan, TX",Chain-type quantity indexes for real GDP ,Quantity index,110.524,112.44,119.37,123.818,125.092
"McLennan, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,11181529,11552769,12429362,13145065,13591408
"McMullen, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,4895527,4665852,3790143,3362561,3611426
"McMullen, TX",Chain-type quantity indexes for real GDP ,Quantity index,254.927,242.967,197.366,175.1,188.06
"McMullen, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,2181640,1737147,1897316,2104567,1687909
"Madison, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,1115134,934914,870492,807989,827685
"Madison, TX",Chain-type quantity indexes for real GDP ,Quantity index,157.256,131.842,122.757,113.943,116.72
"Madison, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,724619,567551,592424,594931,565816
"Marion, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,214669,233204,251467,262894,263081
"Marion, TX",Chain-type quantity indexes for real GDP ,Quantity index,88.844,96.515,104.073,108.803,108.88
"Marion, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,213899,230742,262207,289595,284155
"Martin, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,4711416,5976722,6989007,9316875,14009307
"Martin, TX",Chain-type quantity indexes for real GDP ,Quantity index,155.564,197.343,230.767,307.63,462.567
"Martin, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,2209319,2372378,3679789,6100189,6886121
