County,Description,Unit,2015,2016,2017,2018,2019
"Bowie, TX",Chain-type quantity indexes for real GDP ,Quantity index,94.737,95.543,94.299,93.786,92.919
"Bowie, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,3504937,3592985,3608160,3680845,3738575
"Brazoria, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,15356632,15783630,14859960,15464112,14972229
"Brazoria, TX",Chain-type quantity indexes for real GDP ,Quantity index,112.609,115.74,108.967,113.397,109.79
"Brazoria, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,15926305,16090108,15804992,17136887,16604240
"Brazos, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,8902326,8963449,9107397,9487291,9733599
"Brazos, TX",Chain-type quantity indexes for real GDP ,Quantity index,115.333,116.125,117.99,122.911,126.102
"Brazos, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,8988203,9114726,9492023,10169296,10564091
"Brewster, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,340979,332920,332054,356140,369006
"Brewster, TX",Chain-type quantity indexes for real GDP ,Quantity index,101.883,99.475,99.216,106.413,110.258
"Brewster, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,358273,354320,359485,395566,420265
"Briscoe, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,60032,86645,96380,104391,102447
"Briscoe, TX",Chain-type quantity indexes for real GDP ,Quantity index,163.283,235.668,262.149,283.938,278.649
"Briscoe, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,62018,88342,100377,110194,109603
"Brooks, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,413529,348414,367957,354047,345793
"Brooks, TX",Chain-type quantity indexes for real GDP ,Quantity index,108.736,91.614,96.753,93.096,90.925
"Brooks, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,317352,256067,294963,302571,284765
"Brown, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,1251479,1262064,1307605,1316490,1316371
"Brown, TX",Chain-type quantity indexes for real GDP ,Quantity index,107.873,108.786,112.711,113.477,113.467
"Brown, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,1332053,1366433,1440231,1483503,1518529
"Burleson, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,1134882,1089494,1276326,1564951,1754502
"Burleson, TX",Chain-type quantity indexes for real GDP ,Quantity index,160.887,154.453,180.939,221.856,248.728
"Burleson, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,797279,713054,975778,1378799,1300763
"Burnet, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,1315365,1336646,1394342,1436788,1510823
"Burnet, TX",Chain-type quantity indexes for real GDP ,Quantity index,107.162,108.896,113.596,117.054,123.086
"Burnet, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,1410883,1458727,1553200,1639090,1770035
"Caldwell, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,851863,818376,853027,908162,917151
"Caldwell, TX",Chain-type quantity indexes for real GDP ,Quantity index,90.948,87.373,91.072,96.958,97.918
"Caldwell, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,826890,797931,864488,954467,973918
"Calhoun, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,2259407,2363204,2766602,3402793,3396793
"Calhoun, TX",Chain-type quantity indexes for real GDP ,Quantity index,116.756,122.119,142.965,175.84,175.53
"Calhoun, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,2238842,2322176,2824981,3588214,3595651
"Callahan, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,241482,241208,256962,290349,295746
"Callahan, TX",Chain-type quantity indexes for real GDP ,Quantity index,94.324,94.217,100.371,113.412,115.52
"Callahan, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,247137,249046,272024,315929,327943
"Cameron, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,9454224,9689054,9661170,9823716,10072582
"Cameron, TX",Chain-type quantity indexes for real GDP ,Quantity index,101.361,103.879,103.58,105.323,107.991
"Cameron, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,10129884,10544649,10666831,11074901,11641021
"Camp, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,410574,360704,347893,347075,320925
"Camp, TX",Chain-type quantity indexes for real GDP ,Quantity index,116.895,102.696,99.049,98.816,91.371
"Camp, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,415313,362057,360369,369532,350674
"Carson, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,819810,901137,966651,986079,1015546
"Carson, TX",Chain-type quantity indexes for real GDP ,Quantity index,111.878,122.977,131.917,134.569,138.59
"Carson, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,816856,890897,958882,1000919,1063365
"Cass, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,692721,687811,737302,788760,818890
"Cass, TX",Chain-type quantity indexes for real GDP ,Quantity index,98.982,98.281,105.352,112.705,117.01
"Cass, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,714030,710956,784509,860476,901146
"Castro, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,890988,858406,917523,822856,817502
"Castro, TX",Chain-type quantity indexes for real GDP ,Quantity index,158.809,153.002,163.539,146.665,145.711
"Castro, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,744401,631411,725737,638261,625840
"Chambers, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,2746813,3087143,2792419,2866167,2453693
"Chambers, TX",Chain-type quantity indexes for real GDP ,Quantity index,134.039,150.647,136.265,139.863,119.735
"Chambers, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,2659483,2973672,2815122,3003908,2575575
"Cherokee, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,1363298,1399726,1361759,1343807,1339150
"Cherokee, TX",Chain-type quantity indexes for real GDP ,Quantity index,97.415,100.018,97.305,96.023,95.69
"Cherokee, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,1339633,1365850,1384941,1418446,1418125
"Childress, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,184494,195191,196874,200352,204706
"Childress, TX",Chain-type quantity indexes for real GDP ,Quantity index,117.822,124.654,125.728,127.949,130.73
"Childress, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,197527,211347,216153,224969,234218
"Clay, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,239813,249066,245229,249609,256657
"Clay, TX",Chain-type quantity indexes for real GDP ,Quantity index,106.599,110.712,109.006,110.953,114.086
"Clay, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,213633,217791,226230,241671,246339
"Cochran, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,363539,376583,403356,341759,396940
"Cochran, TX",Chain-type quantity indexes for real GDP ,Quantity index,70.028,72.541,77.698,65.833,76.463
"Cochran, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,190383,173693,231420,230905,220934
"Coke, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,157027,146343,131721,136204,127958
"Coke, TX",Chain-type quantity indexes for real GDP ,Quantity index,90.131,83.998,75.606,78.179,73.446
"Coke, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,110956,97352,97643,109946,97658
"Coleman, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,211291,209623,210778,215415,219909
"Coleman, TX",Chain-type quantity indexes for real GDP ,Quantity index,90.126,89.415,89.907,91.885,93.802
"Coleman, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,205533,204358,213121,225970,231955
"Collin, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,52123618,56132046,58708486,62389788,63751719
"Collin, TX",Chain-type quantity indexes for real GDP ,Quantity index,121.832,131.201,137.223,145.827,149.011
"Collin, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,54272173,59040759,62382907,67473821,70230922
"Collingsworth, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,75630,77902,73940,75592,72964
"Collingsworth, TX",Chain-type quantity indexes for real GDP ,Quantity index,104.453,107.592,102.119,104.401,100.771
"Collingsworth, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,75780,78396,76636,80807,79082
"Colorado, TX",Real GDP (thousands of chained 2012 dollars) ,Thousands of chained 2012 dollars,880774,836453,852443,801972,834977
"Colorado, TX",Chain-type quantity indexes for real GDP ,Quantity index,114.707,108.935,111.017,104.444,108.743
"Colorado, TX",Current-dollar GDP (thousands of current dollars) ,Thousands of dollars,854435,816040,861458,839244,881207
