County,Description,Unit,2015,2016,2017,2018,2019
"Hartley, TX",Per capita personal income (dollars) 2/,Dollars,98497,69440,75981,65085,74916
"Haskell, TX",Personal income (thousands of dollars) ,Thousands of dollars,204947,188140,199369,216132,254848
"Haskell, TX",Population (persons) 1/,Number of persons,5646,5546,5463,5425,5371
"Haskell, TX",Per capita personal income (dollars) 2/,Dollars,36300,33924,36494,39840,47449
"Hays, TX",Personal income (thousands of dollars) ,Thousands of dollars,7914757,8491043,9217649,9949490,11335317
"Hays, TX",Population (persons) 1/,Number of persons,195606,205852,216407,224748,232502
"Hays, TX",Per capita personal income (dollars) 2/,Dollars,40463,41248,42594,44270,48754
"Hemphill, TX",Personal income (thousands of dollars) ,Thousands of dollars,328422,241160,231018,223864,237048
"Hemphill, TX",Population (persons) 1/,Number of persons,4039,3827,3637,3511,3455
"Hemphill, TX",Per capita personal income (dollars) 2/,Dollars,81313,63015,63519,63761,68610
"Henderson, TX",Personal income (thousands of dollars) ,Thousands of dollars,2957794,3003895,3176486,3230257,3478135
"Henderson, TX",Population (persons) 1/,Number of persons,78809,79258,79990,81016,81532
"Henderson, TX",Per capita personal income (dollars) 2/,Dollars,37531,37900,39711,39872,42660
"Hidalgo, TX",Personal income (thousands of dollars) ,Thousands of dollars,21289111,21652455,22214659,23228255,24428598
"Hidalgo, TX",Population (persons) 1/,Number of persons,837320,846030,852699,858413,864536
"Hidalgo, TX",Per capita personal income (dollars) 2/,Dollars,25425,25593,26052,27060,28256
"Hill, TX",Personal income (thousands of dollars) ,Thousands of dollars,1315106,1320231,1375391,1471083,1555073
"Hill, TX",Population (persons) 1/,Number of persons,34338,34498,35009,35358,35607
"Hill, TX",Per capita personal income (dollars) 2/,Dollars,38299,38270,39287,41605,43673
"Hockley, TX",Personal income (thousands of dollars) ,Thousands of dollars,915247,853018,932393,942812,987192
"Hockley, TX",Population (persons) 1/,Number of persons,22536,22163,21951,21771,21752
"Hockley, TX",Per capita personal income (dollars) 2/,Dollars,40613,38488,42476,43306,45384
"Hood, TX",Personal income (thousands of dollars) ,Thousands of dollars,2618258,2711104,2942857,3079767,3350515
"Hood, TX",Population (persons) 1/,Number of persons,54544,55739,56976,59046,60379
"Hood, TX",Per capita personal income (dollars) 2/,Dollars,48003,48639,51651,52159,55491
"Hopkins, TX",Personal income (thousands of dollars) ,Thousands of dollars,1353964,1339344,1405779,1483127,1592076
"Hopkins, TX",Population (persons) 1/,Number of persons,35786,35942,36196,36393,36725
"Hopkins, TX",Per capita personal income (dollars) 2/,Dollars,37835,37264,38838,40753,43351
"Houston, TX",Personal income (thousands of dollars) ,Thousands of dollars,820952,824598,859531,899596,937438
"Houston, TX",Population (persons) 1/,Number of persons,22350,22421,22523,22409,22183
"Houston, TX",Per capita personal income (dollars) 2/,Dollars,36732,36778,38162,40144,42259
"Howard, TX",Personal income (thousands of dollars) ,Thousands of dollars,1319168,1279666,1362715,1588097,1640804
"Howard, TX",Population (persons) 1/,Number of persons,36199,35141,34563,34433,35147
"Howard, TX",Per capita personal income (dollars) 2/,Dollars,36442,36415,39427,46121,46684
"Hudspeth, TX",Personal income (thousands of dollars) ,Thousands of dollars,129169,145584,153556,107189,115875
"Hudspeth, TX",Population (persons) 1/,Number of persons,2838,3280,3408,3387,3312
"Hudspeth, TX",Per capita personal income (dollars) 2/,Dollars,45514,44385,45058,31647,34986
"Hunt, TX",Personal income (thousands of dollars) ,Thousands of dollars,3206064,3368750,3537801,3748986,4039320
"Hunt, TX",Population (persons) 1/,Number of persons,89908,92163,94343,96999,98936
"Hunt, TX",Per capita personal income (dollars) 2/,Dollars,35659,36552,37499,38650,40828
"Hutchinson, TX",Personal income (thousands of dollars) ,Thousands of dollars,883447,877071,851959,885811,904488
"Hutchinson, TX",Population (persons) 1/,Number of persons,21724,21453,21239,20956,20773
"Hutchinson, TX",Per capita personal income (dollars) 2/,Dollars,40667,40883,40113,42270,43542
"Irion, TX",Personal income (thousands of dollars) ,Thousands of dollars,110336,91359,104519,113562,111941
"Irion, TX",Population (persons) 1/,Number of persons,1533,1549,1494,1508,1527
"Irion, TX",Per capita personal income (dollars) 2/,Dollars,71974,58979,69959,75306,73308
"Jack, TX",Personal income (thousands of dollars) ,Thousands of dollars,372143,327048,356237,393250,355595
"Jack, TX",Population (persons) 1/,Number of persons,8599,8447,8436,8381,8441
"Jack, TX",Per capita personal income (dollars) 2/,Dollars,43277,38718,42228,46922,42127
"Jackson, TX",Personal income (thousands of dollars) ,Thousands of dollars,611576,583566,609225,632048,714656
"Jackson, TX",Population (persons) 1/,Number of persons,14882,14961,14902,14943,14891
"Jackson, TX",Per capita personal income (dollars) 2/,Dollars,41095,39006,40882,42297,47992
"Jasper, TX",Personal income (thousands of dollars) ,Thousands of dollars,1337047,1345327,1395522,1434868,1476486
"Jasper, TX",Population (persons) 1/,Number of persons,33984,33912,33802,33773,33354
"Jasper, TX",Per capita personal income (dollars) 2/,Dollars,39343,39671,41285,42486,44267
"Jeff Davis, TX",Personal income (thousands of dollars) ,Thousands of dollars,88471,90358,92796,97014,101540
"Jeff Davis, TX",Population (persons) 1/,Number of persons,2071,2078,2080,2044,2050
"Jeff Davis, TX",Per capita personal income (dollars) 2/,Dollars,42719,43483,44613,47463,49532
"Jefferson, TX",Personal income (thousands of dollars) ,Thousands of dollars,10651735,10523780,10840074,10950743,11201120
"Jefferson, TX",Population (persons) 1/,Number of persons,258169,259340,260118,257407,256612
"Jefferson, TX",Per capita personal income (dollars) 2/,Dollars,41259,40579,41674,42543,43650
"Jim Hogg, TX",Personal income (thousands of dollars) ,Thousands of dollars,164046,154957,157220,165527,175557
"Jim Hogg, TX",Population (persons) 1/,Number of persons,5112,5029,4939,4882,4850
"Jim Hogg, TX",Per capita personal income (dollars) 2/,Dollars,32090,30813,31832,33906,36197
"Jim Wells, TX",Personal income (thousands of dollars) ,Thousands of dollars,1654880,1552068,1623513,1649953,1700770
"Jim Wells, TX",Population (persons) 1/,Number of persons,40672,40182,39772,39464,39087
"Jim Wells, TX",Per capita personal income (dollars) 2/,Dollars,40688,38626,40821,41809,43512
"Johnson, TX",Personal income (thousands of dollars) ,Thousands of dollars,6186803,6431909,6924016,7429135,7973194
"Johnson, TX",Population (persons) 1/,Number of persons,159881,163463,167881,172186,177020
"Johnson, TX",Per capita personal income (dollars) 2/,Dollars,38696,39348,41244,43146,45041
"Jones, TX",Personal income (thousands of dollars) ,Thousands of dollars,578579,569206,580282,619277,666918
"Jones, TX",Population (persons) 1/,Number of persons,19863,19847,19689,19674,19687
"Jones, TX",Per capita personal income (dollars) 2/,Dollars,29128,28680,29472,31477,33876
"Karnes, TX",Personal income (thousands of dollars) ,Thousands of dollars,698138,685220,783371,950602,956037
"Karnes, TX",Population (persons) 1/,Number of persons,14976,14997,14990,15028,14605
"Karnes, TX",Per capita personal income (dollars) 2/,Dollars,46617,45690,52260,63255,65460
"Kaufman, TX",Personal income (thousands of dollars) ,Thousands of dollars,4527953,4818213,5225320,5621862,6197865
"Kaufman, TX",Population (persons) 1/,Number of persons,115625,119940,125045,131244,139711
"Kaufman, TX",Per capita personal income (dollars) 2/,Dollars,39161,40172,41788,42835,44362
"Kendall, TX",Personal income (thousands of dollars) ,Thousands of dollars,3225213,3483641,3702996,3756833,4077065
"Kendall, TX",Population (persons) 1/,Number of persons,38241,39778,41392,42567,43880
"Kendall, TX",Per capita personal income (dollars) 2/,Dollars,84339,87577,89462,88257,92914
"Kenedy, TX",Personal income (thousands of dollars) ,Thousands of dollars,19644,13783,16361,15474,15544
"Kenedy, TX",Population (persons) 1/,Number of persons,421,404,383,389,355
"Kenedy, TX",Per capita personal income (dollars) 2/,Dollars,46660,34116,42718,39779,43786
"Kent, TX",Personal income (thousands of dollars) ,Thousands of dollars,33964,35514,38511,41151,37765
"Kent, TX",Population (persons) 1/,Number of persons,733,732,739,704,734
"Kent, TX",Per capita personal income (dollars) 2/,Dollars,46336,48516,52112,58453,51451
"Kerr, TX",Personal income (thousands of dollars) ,Thousands of dollars,2433608,2428429,2608704,2720431,2859066
"Kerr, TX",Population (persons) 1/,Number of persons,50777,51330,51751,52206,52248
"Kerr, TX",Per capita personal income (dollars) 2/,Dollars,47927,47310,50409,52110,54721
"Kimble, TX",Personal income (thousands of dollars) ,Thousands of dollars,204432,194041,186937,192367,204834
"Kimble, TX",Population (persons) 1/,Number of persons,4332,4339,4304,4247,4266
"Kimble, TX",Per capita personal income (dollars) 2/,Dollars,47191,44720,43433,45295,48015
"King, TX",Personal income (thousands of dollars) ,Thousands of dollars,23591,21981,20593,23621,22108
"King, TX",Population (persons) 1/,Number of persons,273,281,278,265,256
"King, TX",Per capita personal income (dollars) 2/,Dollars,86414,78224,74076,89136,86359
"Kinney, TX",Personal income (thousands of dollars) ,Thousands of dollars,110590,105366,110361,115279,116711
"Kinney, TX",Population (persons) 1/,Number of persons,3316,3296,3312,3244,3175
"Kinney, TX",Per capita personal income (dollars) 2/,Dollars,33350,31968,33322,35536,36759
"Kleberg, TX",Personal income (thousands of dollars) ,Thousands of dollars,1171667,1134163,1177934,1218673,1259649
"Kleberg, TX",Population (persons) 1/,Number of persons,31735,31700,31200,31223,31064
"Kleberg, TX",Per capita personal income (dollars) 2/,Dollars,36920,35778,37754,39031,40550
"Knox, TX",Personal income (thousands of dollars) ,Thousands of dollars,140235,130033,137579,144382,143885
"Knox, TX",Population (persons) 1/,Number of persons,3617,3527,3439,3392,3373
"Knox, TX",Per capita personal income (dollars) 2/,Dollars,38771,36868,40006,42565,42658
"Lamar, TX",Personal income (thousands of dollars) ,Thousands of dollars,1883302,1949763,2031257,2053396,2169885
"Lamar, TX",Population (persons) 1/,Number of persons,49489,49661,49733,49811,49935
"Lamar, TX",Per capita personal income (dollars) 2/,Dollars,38055,39261,40843,41224,43454
"Lamb, TX",Personal income (thousands of dollars) ,Thousands of dollars,529047,482060,535545,538168,596510
"Lamb, TX",Population (persons) 1/,Number of persons,13414,13379,13387,13314,13155
"Lamb, TX",Per capita personal income (dollars) 2/,Dollars,39440,36031,40005,40421,45345
"Lampasas, TX",Personal income (thousands of dollars) ,Thousands of dollars,977179,987349,1030854,1074600,1125475
"Lampasas, TX",Population (persons) 1/,Number of persons,20324,20486,20812,21081,21356
"Lampasas, TX",Per capita personal income (dollars) 2/,Dollars,48080,48196,49532,50975,52701
"La Salle, TX",Personal income (thousands of dollars) ,Thousands of dollars,338490,267933,268124,305540,313344
"La Salle, TX",Population (persons) 1/,Number of persons,7175,7057,6916,6808,6763
"La Salle, TX",Per capita personal income (dollars) 2/,Dollars,47176,37967,38769,44880,46332
"Lavaca, TX",Personal income (thousands of dollars) ,Thousands of dollars,1021028,948295,1004472,1082135,1154253
"Lavaca, TX",Population (persons) 1/,Number of persons,19982,19960,20101,20184,20266
"Lavaca, TX",Per capita personal income (dollars) 2/,Dollars,51097,47510,49971,53614,56955
"Lee, TX",Personal income (thousands of dollars) ,Thousands of dollars,747241,744625,795582,822519,952556
"Lee, TX",Population (persons) 1/,Number of persons,16911,17023,17176,17195,17386
"Lee, TX",Per capita personal income (dollars) 2/,Dollars,44187,43742,46319,47835,54789
"Leon, TX",Personal income (thousands of dollars) ,Thousands of dollars,717473,647876,673748,700911,723094
"Leon, TX",Population (persons) 1/,Number of persons,16128,16120,15976,15870,15826
"Leon, TX",Per capita personal income (dollars) 2/,Dollars,44486,40191,42173,44166,45690
"Liberty, TX",Personal income (thousands of dollars) ,Thousands of dollars,2849035,2953050,3100448,3249771,3476826
"Liberty, TX",Population (persons) 1/,Number of persons,79899,81820,84170,86442,89153
"Liberty, TX",Per capita personal income (dollars) 2/,Dollars,35658,36092,36836,37595,38998
"Limestone, TX",Personal income (thousands of dollars) ,Thousands of dollars,788865,781482,811172,863777,898451
"Limestone, TX",Population (persons) 1/,Number of persons,22790,22701,22494,22255,22268
"Limestone, TX",Per capita personal income (dollars) 2/,Dollars,34615,34425,36062,38813,40347
"Lipscomb, TX",Personal income (thousands of dollars) ,Thousands of dollars,191678,178386,217071,240447,279475
"Lipscomb, TX",Population (persons) 1/,Number of persons,3516,3454,3308,3256,3150
"Lipscomb, TX",Per capita personal income (dollars) 2/,Dollars,54516,51646,65620,73847,88722
"Live Oak, TX",Personal income (thousands of dollars) ,Thousands of dollars,458508,378797,415395,449329,461181
"Live Oak, TX",Population (persons) 1/,Number of persons,11672,11445,11464,11337,11354
"Live Oak, TX",Per capita personal income (dollars) 2/,Dollars,39283,33097,36235,39634,40618
"Llano, TX",Personal income (thousands of dollars) ,Thousands of dollars,936515,962884,1014525,1068212,1144364
"Llano, TX",Population (persons) 1/,Number of persons,19746,20213,20714,21106,21174
"Llano, TX",Per capita personal income (dollars) 2/,Dollars,47428,47637,48978,50612,54046
"Loving, TX",Personal income (thousands of dollars) ,Thousands of dollars,4487,6176,7967,8509,7271
"Loving, TX",Population (persons) 1/,Number of persons,72,64,66,67,67
"Loving, TX",Per capita personal income (dollars) 2/,Dollars,62319,96500,120712,127000,108522
"Lubbock, TX",Personal income (thousands of dollars) ,Thousands of dollars,11977154,12232956,12614549,13350375,14078519
"Lubbock, TX",Population (persons) 1/,Number of persons,296895,300373,303393,305447,308094
"Lubbock, TX",Per capita personal income (dollars) 2/,Dollars,40341,40726,41578,43708,45696
"Lynn, TX",Personal income (thousands of dollars) ,Thousands of dollars,184324,173268,228527,235948,260677
"Lynn, TX",Population (persons) 1/,Number of persons,5538,5527,5538,5517,5581
"Lynn, TX",Per capita personal income (dollars) 2/,Dollars,33283,31349,41265,42767,46708
"McCulloch, TX",Personal income (thousands of dollars) ,Thousands of dollars,300313,284486,296619,316997,310193
"McCulloch, TX",Population (persons) 1/,Number of persons,8115,7958,7749,7750,7774
"McCulloch, TX",Per capita personal income (dollars) 2/,Dollars,37007,35748,38278,40903,39901
"McLennan, TX",Personal income (thousands of dollars) ,Thousands of dollars,9326876,9596980,10099227,10581527,11000967
"McLennan, TX",Population (persons) 1/,Number of persons,246111,248336,252532,255228,258232
"McLennan, TX",Per capita personal income (dollars) 2/,Dollars,37897,38645,39992,41459,42601
"McMullen, TX",Personal income (thousands of dollars) ,Thousands of dollars,92664,53681,55214,53525,58309
"McMullen, TX",Population (persons) 1/,Number of persons,756,723,672,626,620
"McMullen, TX",Per capita personal income (dollars) 2/,Dollars,122571,74248,82164,85503,94047
"Madison, TX",Personal income (thousands of dollars) ,Thousands of dollars,434637,414564,439793,455054,459261
"Madison, TX",Population (persons) 1/,Number of persons,13460,13534,13598,13622,13496
"Madison, TX",Per capita personal income (dollars) 2/,Dollars,32291,30631,32342,33406,34029
"Marion, TX",Personal income (thousands of dollars) ,Thousands of dollars,365192,359565,374295,388367,412016
"Marion, TX",Population (persons) 1/,Number of persons,10044,10005,9927,9748,9662
"Marion, TX",Per capita personal income (dollars) 2/,Dollars,36359,35939,37705,39841,42643
"Martin, TX",Personal income (thousands of dollars) ,Thousands of dollars,267825,246631,302843,385941,412543
"Martin, TX",Population (persons) 1/,Number of persons,5351,5286,5140,5220,5236
"Martin, TX",Per capita personal income (dollars) 2/,Dollars,50051,46657,58919,73935,78790
"Mason, TX",Personal income (thousands of dollars) ,Thousands of dollars,175517,165959,184334,201901,200197
"Mason, TX",Population (persons) 1/,Number of persons,3877,3933,3923,3960,3947
"Mason, TX",Per capita personal income (dollars) 2/,Dollars,45271,42197,46988,50985,50721
"Matagorda, TX",Personal income (thousands of dollars) ,Thousands of dollars,1518823,1502924,1533453,1580209,1661839
"Matagorda, TX",Population (persons) 1/,Number of persons,36515,36863,36525,36218,36244
"Matagorda, TX",Per capita personal income (dollars) 2/,Dollars,41594,40771,41984,43630,45851
"Maverick, TX",Personal income (thousands of dollars) ,Thousands of dollars,1616108,1610606,1681233,1788842,1883020
"Maverick, TX",Population (persons) 1/,Number of persons,57375,57580,57510,57544,57874
"Maverick, TX",Per capita personal income (dollars) 2/,Dollars,28167,27972,29234,31087,32537
"Medina, TX",Personal income (thousands of dollars) ,Thousands of dollars,1834548,1870158,1971907,2078779,2240221
"Medina, TX",Population (persons) 1/,Number of persons,47736,48412,49228,49805,50326
"Medina, TX",Per capita personal income (dollars) 2/,Dollars,38431,38630,40057,41738,44514
"Menard, TX",Personal income (thousands of dollars) ,Thousands of dollars,80661,74883,71023,79043,81282
"Menard, TX",Population (persons) 1/,Number of persons,2055,2004,2006,1980,1962
"Menard, TX",Per capita personal income (dollars) 2/,Dollars,39251,37367,35405,39921,41428
"Midland, TX",Personal income (thousands of dollars) ,Thousands of dollars,15041339,12785858,18715680,22942270,24411344
"Midland, TX",Population (persons) 1/,Number of persons,158779,159604,160364,166550,169588
"Midland, TX",Per capita personal income (dollars) 2/,Dollars,94731,80110,116707,137750,143945
"Milam, TX",Personal income (thousands of dollars) ,Thousands of dollars,919618,899607,901418,908705,943004
"Milam, TX",Population (persons) 1/,Number of persons,24373,24689,24919,24984,24735
"Milam, TX",Per capita personal income (dollars) 2/,Dollars,37731,36438,36174,36371,38124
"Mills, TX",Personal income (thousands of dollars) ,Thousands of dollars,188195,177013,184734,191327,198238
"Mills, TX",Population (persons) 1/,Number of persons,4675,4635,4631,4538,4506
"Mills, TX",Per capita personal income (dollars) 2/,Dollars,40256,38191,39891,42161,43994
"Mitchell, TX",Personal income (thousands of dollars) ,Thousands of dollars,276468,254398,265442,287575,292811
"Mitchell, TX",Population (persons) 1/,Number of persons,9288,8966,8782,8825,8861
"Mitchell, TX",Per capita personal income (dollars) 2/,Dollars,29766,28374,30226,32586,33045
"Montague, TX",Personal income (thousands of dollars) ,Thousands of dollars,822184,740304,777343,820825,847155
"Montague, TX",Population (persons) 1/,Number of persons,19258,19392,19414,19603,19854
"Montague, TX",Per capita personal income (dollars) 2/,Dollars,42693,38176,40040,41872,42669
"Montgomery, TX",Personal income (thousands of dollars) ,Thousands of dollars,32711443,31778939,35887018,37310451,39946816
"Montgomery, TX",Population (persons) 1/,Number of persons,535326,554601,570650,589069,606342
"Montgomery, TX",Per capita personal income (dollars) 2/,Dollars,61106,57301,62888,63338,65882
"Moore, TX",Personal income (thousands of dollars) ,Thousands of dollars,927558,873785,919319,915237,1009088
"Moore, TX",Population (persons) 1/,Number of persons,22041,22032,22027,21560,21496
"Moore, TX",Per capita personal income (dollars) 2/,Dollars,42083,39660,41736,42451,46943
"Morris, TX",Personal income (thousands of dollars) ,Thousands of dollars,523743,498084,510831,504906,494007
"Morris, TX",Population (persons) 1/,Number of persons,12140,12156,12055,11925,11956
"Morris, TX",Per capita personal income (dollars) 2/,Dollars,43142,40974,42375,42340,41319
"Motley, TX",Personal income (thousands of dollars) ,Thousands of dollars,35140,32787,34792,37218,38832
"Motley, TX",Population (persons) 1/,Number of persons,1078,1087,1127,1121,1078
"Motley, TX",Per capita personal income (dollars) 2/,Dollars,32597,30163,30871,33201,36022
"Nacogdoches, TX",Personal income (thousands of dollars) ,Thousands of dollars,2357279,2304221,2408279,2492935,2567449
"Nacogdoches, TX",Population (persons) 1/,Number of persons,65393,65455,65141,64937,64728
"Nacogdoches, TX",Per capita personal income (dollars) 2/,Dollars,36048,35203,36970,38390,39665
"Navarro, TX",Personal income (thousands of dollars) ,Thousands of dollars,1739082,1772505,1822535,1929609,2049649
"Navarro, TX",Population (persons) 1/,Number of persons,49177,49612,50159,51195,51832
"Navarro, TX",Per capita personal income (dollars) 2/,Dollars,35364,35727,36335,37691,39544
"Newton, TX",Personal income (thousands of dollars) ,Thousands of dollars,429350,428883,444621,460657,480852
"Newton, TX",Population (persons) 1/,Number of persons,13470,13342,12980,12740,12517
"Newton, TX",Per capita personal income (dollars) 2/,Dollars,31875,32145,34254,36158,38416
"Nolan, TX",Personal income (thousands of dollars) ,Thousands of dollars,591937,583814,614218,648995,672864
"Nolan, TX",Population (persons) 1/,Number of persons,15069,15012,14832,14753,14730
"Nolan, TX",Per capita personal income (dollars) 2/,Dollars,39282,38890,41412,43991,45680
"Nueces, TX",Personal income (thousands of dollars) ,Thousands of dollars,15490528,14641103,15452239,15689799,16689389
"Nueces, TX",Population (persons) 1/,Number of persons,355459,355628,354233,354090,353277
"Nueces, TX",Per capita personal income (dollars) 2/,Dollars,43579,41170,43622,44310,47242
"Ochiltree, TX",Personal income (thousands of dollars) ,Thousands of dollars,709679,537283,561988,565750,594253
"Ochiltree, TX",Population (persons) 1/,Number of persons,10896,10494,10269,10159,10148
"Ochiltree, TX",Per capita personal income (dollars) 2/,Dollars,65132,51199,54727,55690,58559
"Oldham, TX",Personal income (thousands of dollars) ,Thousands of dollars,129537,110774,113631,111187,112192
"Oldham, TX",Population (persons) 1/,Number of persons,1870,1842,1838,1817,1778
"Oldham, TX",Per capita personal income (dollars) 2/,Dollars,69271,60138,61823,61193,63100
"Orange, TX",Personal income (thousands of dollars) ,Thousands of dollars,3536116,3605026,3690938,3752870,3839928
"Orange, TX",Population (persons) 1/,Number of persons,84973,85787,86379,84680,84733
"Orange, TX",Per capita personal income (dollars) 2/,Dollars,41615,42023,42730,44318,45318
"Palo Pinto, TX",Personal income (thousands of dollars) ,Thousands of dollars,1052536,1046425,1111956,1177759,1281045
"Palo Pinto, TX",Population (persons) 1/,Number of persons,27526,27606,27937,28135,28313
"Palo Pinto, TX",Per capita personal income (dollars) 2/,Dollars,38238,37906,39802,41861,45246
"Panola, TX",Personal income (thousands of dollars) ,Thousands of dollars,1017254,920381,971168,1071877,1097838
"Panola, TX",Population (persons) 1/,Number of persons,23307,22991,22688,22529,22496
"Panola, TX",Per capita personal income (dollars) 2/,Dollars,43646,40032,42805,47578,48801
"Parker, TX",Personal income (thousands of dollars) ,Thousands of dollars,6337723,6611383,7094471,7676607,8462292
"Parker, TX",Population (persons) 1/,Number of persons,126234,129676,134407,139183,144223
"Parker, TX",Per capita personal income (dollars) 2/,Dollars,50206,50984,52783,55155,58675
"Parmer, TX",Personal income (thousands of dollars) ,Thousands of dollars,607799,446315,464536,438021,494442
"Parmer, TX",Population (persons) 1/,Number of persons,9964,9969,9924,9934,9852
"Parmer, TX",Per capita personal income (dollars) 2/,Dollars,60999,44770,46809,44093,50187
"Pecos, TX",Personal income (thousands of dollars) ,Thousands of dollars,533820,509990,541387,604432,629468
"Pecos, TX",Population (persons) 1/,Number of persons,15732,15511,15236,15228,15256
"Pecos, TX",Per capita personal income (dollars) 2/,Dollars,33932,32879,35533,39692,41260
"Polk, TX",Personal income (thousands of dollars) ,Thousands of dollars,1804806,1837070,1929788,2009716,2140497
"Polk, TX",Population (persons) 1/,Number of persons,45485,46278,47302,48037,49075
"Polk, TX",Per capita personal income (dollars) 2/,Dollars,39679,39696,40797,41837,43617
"Potter, TX",Personal income (thousands of dollars) ,Thousands of dollars,4951418,4885523,5073431,5291854,5629486
"Potter, TX",Population (persons) 1/,Number of persons,122376,121814,121595,120124,118786
"Potter, TX",Per capita personal income (dollars) 2/,Dollars,40461,40106,41724,44053,47392
"Presidio, TX",Personal income (thousands of dollars) ,Thousands of dollars,279890,279005,287361,311688,312910
"Presidio, TX",Population (persons) 1/,Number of persons,6819,6839,6730,6422,6239
"Presidio, TX",Per capita personal income (dollars) 2/,Dollars,41046,40796,42699,48534,50154
"Rains, TX",Personal income (thousands of dollars) ,Thousands of dollars,362619,378887,404304,421404,444535
"Rains, TX",Population (persons) 1/,Number of persons,10961,11089,11479,11782,12086
"Rains, TX",Per capita personal income (dollars) 2/,Dollars,33083,34168,35221,35767,36781
"Randall, TX",Personal income (thousands of dollars) ,Thousands of dollars,6072987,6172521,6381803,6604892,6992146
"Randall, TX",Population (persons) 1/,Number of persons,131106,133240,135055,136787,138952
"Randall, TX",Per capita personal income (dollars) 2/,Dollars,46321,46326,47253,48286,50321
"Reagan, TX",Personal income (thousands of dollars) ,Thousands of dollars,170777,153425,162670,204695,200825
"Reagan, TX",Population (persons) 1/,Number of persons,3565,3444,3388,3366,3426
"Reagan, TX",Per capita personal income (dollars) 2/,Dollars,47904,44548,48014,60813,58618
"Real, TX",Personal income (thousands of dollars) ,Thousands of dollars,115740,111612,116895,123517,130756
"Real, TX",Population (persons) 1/,Number of persons,2949,2965,2925,2916,2842
"Real, TX",Per capita personal income (dollars) 2/,Dollars,39247,37643,39964,42358,46008
"Red River, TX",Personal income (thousands of dollars) ,Thousands of dollars,470972,481990,490715,501879,534179
"Red River, TX",Population (persons) 1/,Number of persons,12108,11899,11846,11777,11689
"Red River, TX",Per capita personal income (dollars) 2/,Dollars,38898,40507,41425,42615,45699
"Reeves, TX",Personal income (thousands of dollars) ,Thousands of dollars,472948,461245,536234,677963,761016
"Reeves, TX",Population (persons) 1/,Number of persons,14936,14484,14314,14526,14847
"Reeves, TX",Per capita personal income (dollars) 2/,Dollars,31665,31845,37462,46672,51257
"Refugio, TX",Personal income (thousands of dollars) ,Thousands of dollars,338413,300164,301463,312391,321978
"Refugio, TX",Population (persons) 1/,Number of persons,7260,7191,7082,6816,6708
"Refugio, TX",Per capita personal income (dollars) 2/,Dollars,46613,41742,42567,45832,47999
"Roberts, TX",Personal income (thousands of dollars) ,Thousands of dollars,44275,38958,42928,43188,42798
"Roberts, TX",Population (persons) 1/,Number of persons,912,917,945,898,846
"Roberts, TX",Per capita personal income (dollars) 2/,Dollars,48547,42484,45426,48094,50589
"Robertson, TX",Personal income (thousands of dollars) ,Thousands of dollars,698042,674373,694737,726398,752722
"Robertson, TX",Population (persons) 1/,Number of persons,16481,16573,16858,16901,16730
"Robertson, TX",Per capita personal income (dollars) 2/,Dollars,42354,40691,41211,42980,44992
"Rockwall, TX",Personal income (thousands of dollars) ,Thousands of dollars,5046704,5401724,5856721,6203995,6826058
"Rockwall, TX",Population (persons) 1/,Number of persons,89927,93169,96460,100006,104174
"Rockwall, TX",Per capita personal income (dollars) 2/,Dollars,56120,57978,60717,62036,65526
"Runnels, TX",Personal income (thousands of dollars) ,Thousands of dollars,390924,383399,393110,405128,441237
"Runnels, TX",Population (persons) 1/,Number of persons,10140,9999,9937,9788,9837
"Runnels, TX",Per capita personal income (dollars) 2/,Dollars,38553,38344,39560,41390,44855
"Rusk, TX",Personal income (thousands of dollars) ,Thousands of dollars,1924532,1839154,1927920,2021942,2092031
"Rusk, TX",Population (persons) 1/,Number of persons,51843,51585,52662,52554,52485
"Rusk, TX",Per capita personal income (dollars) 2/,Dollars,37122,35653,36609,38474,39860
"Sabine, TX",Personal income (thousands of dollars) ,Thousands of dollars,359245,353079,356434,373805,384641
"Sabine, TX",Population (persons) 1/,Number of persons,10128,10008,9979,10033,9924
"Sabine, TX",Per capita personal income (dollars) 2/,Dollars,35470,35280,35718,37258,38759
"San Augustine, TX",Personal income (thousands of dollars) ,Thousands of dollars,303909,295019,306208,328927,358640
"San Augustine, TX",Population (persons) 1/,Number of persons,8175,8077,8066,7985,7924
"San Augustine, TX",Per capita personal income (dollars) 2/,Dollars,37175,36526,37963,41193,45260
"San Jacinto, TX",Personal income (thousands of dollars) ,Thousands of dollars,901354,933374,972467,1024396,1136358
"San Jacinto, TX",Population (persons) 1/,Number of persons,26495,26681,26983,27282,27246
"San Jacinto, TX",Per capita personal income (dollars) 2/,Dollars,34020,34983,36040,37548,41707
"San Patricio, TX",Personal income (thousands of dollars) ,Thousands of dollars,2873233,2830802,2859644,3001723,3128937
"San Patricio, TX",Population (persons) 1/,Number of persons,67992,68365,68426,67935,68180
"San Patricio, TX",Per capita personal income (dollars) 2/,Dollars,42258,41407,41792,44185,45892
"San Saba, TX",Personal income (thousands of dollars) ,Thousands of dollars,207416,222206,228650,250170,252193
"San Saba, TX",Population (persons) 1/,Number of persons,5768,5733,5775,5805,5731
"San Saba, TX",Per capita personal income (dollars) 2/,Dollars,35960,38759,39593,43096,44005
"Schleicher, TX",Personal income (thousands of dollars) ,Thousands of dollars,136638,123268,108202,118668,117651
