County,Description,Unit,2015,2016,2017,2018,2019
"Brooks, TX",Population (persons) 1/,Number of persons,7238,7262,7186,7138,7154
"Brooks, TX",Per capita personal income (dollars) 2/,Dollars,34732,32189,32879,34585,36269
"Brown, TX",Personal income (thousands of dollars) ,Thousands of dollars,1358476,1362845,1421219,1490405,1552114
"Brown, TX",Population (persons) 1/,Number of persons,37920,38285,38079,38049,38104
"Brown, TX",Per capita personal income (dollars) 2/,Dollars,35825,35597,37323,39171,40734
"Burleson, TX",Personal income (thousands of dollars) ,Thousands of dollars,745451,725622,771868,842523,889181
"Burleson, TX",Population (persons) 1/,Number of persons,17184,17346,17452,17634,17642
"Burleson, TX",Per capita personal income (dollars) 2/,Dollars,43381,41832,44228,47778,50401
"Burnet, TX",Personal income (thousands of dollars) ,Thousands of dollars,2016307,2046644,2158119,2340284,2579527
"Burnet, TX",Population (persons) 1/,Number of persons,44637,45711,46444,47204,48082
"Burnet, TX",Per capita personal income (dollars) 2/,Dollars,45171,44774,46467,49578,53648
"Caldwell, TX",Personal income (thousands of dollars) ,Thousands of dollars,1299541,1324051,1399338,1461006,1558669
"Caldwell, TX",Population (persons) 1/,Number of persons,41314,42220,43648,44692,45352
"Caldwell, TX",Per capita personal income (dollars) 2/,Dollars,31455,31361,32060,32691,34368
"Calhoun, TX",Personal income (thousands of dollars) ,Thousands of dollars,834395,808231,833216,958539,1155632
"Calhoun, TX",Population (persons) 1/,Number of persons,21359,21327,21015,20668,20365
"Calhoun, TX",Per capita personal income (dollars) 2/,Dollars,39065,37897,39649,46378,56746
"Callahan, TX",Personal income (thousands of dollars) ,Thousands of dollars,517665,513501,529441,567923,624632
"Callahan, TX",Population (persons) 1/,Number of persons,13417,13574,13715,13698,13620
"Callahan, TX",Per capita personal income (dollars) 2/,Dollars,38583,37830,38603,41460,45861
"Cameron, TX",Personal income (thousands of dollars) ,Thousands of dollars,11261161,11581945,11742422,12205997,12750515
"Cameron, TX",Population (persons) 1/,Number of persons,417572,419104,419418,419064,419958
"Cameron, TX",Per capita personal income (dollars) 2/,Dollars,26968,27635,27997,29127,30361
"Camp, TX",Personal income (thousands of dollars) ,Thousands of dollars,507102,475018,481727,492901,497324
"Camp, TX",Population (persons) 1/,Number of persons,12385,12385,12402,12484,12526
"Camp, TX",Per capita personal income (dollars) 2/,Dollars,40945,38354,38843,39483,39703
"Carson, TX",Personal income (thousands of dollars) ,Thousands of dollars,259451,250108,261293,260990,284966
"Carson, TX",Population (persons) 1/,Number of persons,5990,6064,5970,5928,5825
"Carson, TX",Per capita personal income (dollars) 2/,Dollars,43314,41245,43768,44027,48921
"Cass, TX",Personal income (thousands of dollars) ,Thousands of dollars,1050423,1048766,1060174,1104298,1141486
"Cass, TX",Population (persons) 1/,Number of persons,29365,29132,28902,28919,28658
"Cass, TX",Per capita personal income (dollars) 2/,Dollars,35771,36000,36682,38186,39831
"Castro, TX",Personal income (thousands of dollars) ,Thousands of dollars,569796,449865,492019,445230,494512
"Castro, TX",Population (persons) 1/,Number of persons,7743,7692,7625,7481,7430
"Castro, TX",Per capita personal income (dollars) 2/,Dollars,73589,58485,64527,59515,66556
"Chambers, TX",Personal income (thousands of dollars) ,Thousands of dollars,2019373,2105211,2201301,2353335,2581902
"Chambers, TX",Population (persons) 1/,Number of persons,39662,40942,42182,43212,44988
"Chambers, TX",Per capita personal income (dollars) 2/,Dollars,50915,51419,52186,54460,57391
"Cherokee, TX",Personal income (thousands of dollars) ,Thousands of dollars,1714164,1731306,1761781,1828055,1883379
"Cherokee, TX",Population (persons) 1/,Number of persons,50359,50426,50419,50383,50404
"Cherokee, TX",Per capita personal income (dollars) 2/,Dollars,34039,34334,34943,36283,37366
"Childress, TX",Personal income (thousands of dollars) ,Thousands of dollars,195272,199825,211850,215375,225099
"Childress, TX",Population (persons) 1/,Number of persons,6918,6895,6900,6857,6769
"Childress, TX",Per capita personal income (dollars) 2/,Dollars,28227,28981,30703,31410,33254
"Clay, TX",Personal income (thousands of dollars) ,Thousands of dollars,427019,430314,429218,451756,476005
"Clay, TX",Population (persons) 1/,Number of persons,10210,10087,10280,10195,10192
"Clay, TX",Per capita personal income (dollars) 2/,Dollars,41824,42660,41753,44312,46704
"Cochran, TX",Personal income (thousands of dollars) ,Thousands of dollars,95279,88293,108204,104943,104487
"Cochran, TX",Population (persons) 1/,Number of persons,2796,2701,2608,2548,2526
"Cochran, TX",Per capita personal income (dollars) 2/,Dollars,34077,32689,41489,41186,41365
"Coke, TX",Personal income (thousands of dollars) ,Thousands of dollars,132196,128375,129809,138077,142718
"Coke, TX",Population (persons) 1/,Number of persons,3203,3234,3254,3289,3284
"Coke, TX",Per capita personal income (dollars) 2/,Dollars,41273,39695,39892,41981,43459
"Coleman, TX",Personal income (thousands of dollars) ,Thousands of dollars,332682,312943,333051,343949,362144
"Coleman, TX",Population (persons) 1/,Number of persons,8089,8140,8085,8006,7736
"Coleman, TX",Per capita personal income (dollars) 2/,Dollars,41128,38445,41194,42961,46813
"Collin, TX",Personal income (thousands of dollars) ,Thousands of dollars,56511882,59594799,63355213,67968936,73362556
"Collin, TX",Population (persons) 1/,Number of persons,915540,944940,973451,1006852,1036005
"Collin, TX",Per capita personal income (dollars) 2/,Dollars,61725,63067,65083,67506,70813
"Collingsworth, TX",Personal income (thousands of dollars) ,Thousands of dollars,108200,105912,110541,110082,119760
"Collingsworth, TX",Population (persons) 1/,Number of persons,2875,2852,2780,2728,2698
"Collingsworth, TX",Per capita personal income (dollars) 2/,Dollars,37635,37136,39763,40353,44388
"Colorado, TX",Personal income (thousands of dollars) ,Thousands of dollars,927622,906359,977473,989020,1055583
"Colorado, TX",Population (persons) 1/,Number of persons,20423,20465,20569,20485,20529
"Colorado, TX",Per capita personal income (dollars) 2/,Dollars,45420,44288,47522,48280,51419
"Comal, TX",Personal income (thousands of dollars) ,Thousands of dollars,7157159,7627078,8258193,9029478,9825181
"Comal, TX",Population (persons) 1/,Number of persons,128381,133798,139977,147337,155373
"Comal, TX",Per capita personal income (dollars) 2/,Dollars,55749,57004,58997,61285,63236
"Comanche, TX",Personal income (thousands of dollars) ,Thousands of dollars,496524,491403,527857,553596,596691
"Comanche, TX",Population (persons) 1/,Number of persons,13318,13465,13427,13400,13495
"Comanche, TX",Per capita personal income (dollars) 2/,Dollars,37282,36495,39313,41313,44216
"Concho, TX",Personal income (thousands of dollars) ,Thousands of dollars,97310,90404,86315,91175,100065
"Concho, TX",Population (persons) 1/,Number of persons,4413,4559,3026,3048,3177
"Concho, TX",Per capita personal income (dollars) 2/,Dollars,22051,19830,28524,29913,31497
"Cooke, TX",Personal income (thousands of dollars) ,Thousands of dollars,1949996,1841976,2050268,2105432,2206710
"Cooke, TX",Population (persons) 1/,Number of persons,39328,39512,40111,40674,41346
"Cooke, TX",Per capita personal income (dollars) 2/,Dollars,49583,46618,51115,51764,53372
"Coryell, TX",Personal income (thousands of dollars) ,Thousands of dollars,2435141,2421076,2538721,2617724,2698824
"Coryell, TX",Population (persons) 1/,Number of persons,79419,78655,79227,79742,82242
"Coryell, TX",Per capita personal income (dollars) 2/,Dollars,30662,30781,32044,32827,32816
"Cottle, TX",Personal income (thousands of dollars) ,Thousands of dollars,72212,71854,82306,87108,74483
"Cottle, TX",Population (persons) 1/,Number of persons,1443,1405,1381,1384,1395
"Cottle, TX",Per capita personal income (dollars) 2/,Dollars,50043,51142,59599,62939,53393
"Crane, TX",Personal income (thousands of dollars) ,Thousands of dollars,203751,180987,202464,234523,253211
"Crane, TX",Population (persons) 1/,Number of persons,4939,4716,4607,4641,4672
"Crane, TX",Per capita personal income (dollars) 2/,Dollars,41253,38377,43947,50533,54198
"Crockett, TX",Personal income (thousands of dollars) ,Thousands of dollars,144138,133271,139339,149018,162139
"Crockett, TX",Population (persons) 1/,Number of persons,3511,3391,3237,3127,3108
"Crockett, TX",Per capita personal income (dollars) 2/,Dollars,41053,39301,43046,47655,52168
"Crosby, TX",Personal income (thousands of dollars) ,Thousands of dollars,174775,176701,194116,199553,216424
"Crosby, TX",Population (persons) 1/,Number of persons,5657,5596,5497,5350,5266
"Crosby, TX",Per capita personal income (dollars) 2/,Dollars,30895,31576,35313,37300,41098
"Culberson, TX",Personal income (thousands of dollars) ,Thousands of dollars,92633,96090,100468,118277,125641
"Culberson, TX",Population (persons) 1/,Number of persons,2275,2244,2259,2212,2186
"Culberson, TX",Per capita personal income (dollars) 2/,Dollars,40718,42821,44475,53471,57475
"Dallam, TX",Personal income (thousands of dollars) ,Thousands of dollars,531685,438350,472114,420379,458080
"Dallam, TX",Population (persons) 1/,Number of persons,7220,7224,7137,7136,7114
"Dallam, TX",Per capita personal income (dollars) 2/,Dollars,73641,60680,66150,58910,64391
"Dallas, TX",Personal income (thousands of dollars) ,Thousands of dollars,134890456,139929547,148697357,160273870,168511762
"Dallas, TX",Population (persons) 1/,Number of persons,2545351,2576641,2602961,2609791,2613082
"Dallas, TX",Per capita personal income (dollars) 2/,Dollars,52995,54307,57126,61413,64488
"Dawson, TX",Personal income (thousands of dollars) ,Thousands of dollars,425458,415514,470366,521503,507953
"Dawson, TX",Population (persons) 1/,Number of persons,12724,12671,12360,12133,12501
"Dawson, TX",Per capita personal income (dollars) 2/,Dollars,33437,32793,38056,42982,40633
"Deaf Smith, TX",Personal income (thousands of dollars) ,Thousands of dollars,1039679,915407,961885,896191,950051
"Deaf Smith, TX",Population (persons) 1/,Number of persons,18939,18966,18907,18873,18766
"Deaf Smith, TX",Per capita personal income (dollars) 2/,Dollars,54896,48266,50875,47485,50626
"Delta, TX",Personal income (thousands of dollars) ,Thousands of dollars,190222,199271,205968,205412,214174
"Delta, TX",Population (persons) 1/,Number of persons,5096,5063,5187,5218,5223
"Delta, TX",Per capita personal income (dollars) 2/,Dollars,37328,39358,39709,39366,41006
"Denton, TX",Personal income (thousands of dollars) ,Thousands of dollars,40678667,43322551,46165402,50432716,55032735
