Cancer Mortality Rates by County in Texas
"Breast Male and Female, NH White, 2015 - 2019"
County,Population at Risk,Deaths,Crude Rate,Age-adjusted Rate,95% Confidence Interval-Lower Limit,95% Confidence Interval-Upper Limit
Freestone,66710,  ~,  ~,  ~,  ~,  ~
Palo Pinto,108414,21,19.4,10.9, 6.7,17.4
Hall,8603,  ~,  ~,  ~,  ~,  ~
Montague,84573,  ~,  ~,  ~,  ~,  ~
McLennan,715003,106,14.8,10.7, 8.7,13.1
Lavaca,74158,18,24.3,10.7, 6.2,18.7
Wood,185134,32,17.3,10.6, 6.8,16.2
Hunt,343173,50,14.6,10.6, 7.8,14.2
Nueces,543621,90,16.6,10.5, 8.4,13.1
Calhoun,46263,  ~,  ~,  ~,  ~,  ~
Tom Green,319100,51,16.0,10.5, 7.7,14.0
Montgomery,1920124,244,12.7,10.5, 9.2,12.0
Comanche,47479,  ~,  ~,  ~,  ~,  ~
Brazoria,868812,115,13.2,10.4, 8.5,12.5
San Patricio,130453,20,15.3,10.4, 6.3,16.6
Navarro,139354,23,16.5,10.3, 6.3,16.3
Comal,485543,73,15.0,10.3, 8.0,13.3
Randall,487024,69,14.2,10.3, 8.0,13.2
Fort Bend,1300440,152,11.7,10.3, 8.7,12.2
Leon,66407,  ~,  ~,  ~,  ~,  ~
Kendall,160353,26,16.2,10.3, 6.6,15.7
Haskell,18812,  ~,  ~,  ~,  ~,  ~
Hansford,13995,  ~,  ~,  ~,  ~,  ~
Baylor,14801,  ~,  ~,  ~,  ~,  ~
Dallam,18416,  ~,  ~,  ~,  ~,  ~
Ellis,536013,67,12.5,10.1, 7.8,13.0
Kaufman,400501,48,12.0,10.1, 7.4,13.5
Cooke,152984,24,15.7,10.0, 6.2,15.6
Denton,2521451,270,10.7,10.0, 8.8,11.4
Jefferson,522841,80,15.3,10.0, 7.8,12.7
Hood,248438,43,17.3,10.0, 6.9,14.2
Milam,78075,  ~,  ~,  ~,  ~,  ~
Ward,23772,  ~,  ~,  ~,  ~,  ~
Travis,3079902,322,10.4, 9.9, 8.8,11.1
Waller,113161,  ~,  ~,  ~,  ~,  ~
Winkler,14024,  ~,  ~,  ~,  ~,  ~
Val Verde,38116,  ~,  ~,  ~,  ~,  ~
Smith,690193,102,14.8, 9.8, 7.9,12.1
Karnes,27974,  ~,  ~,  ~,  ~,  ~
Brazos,633591,55, 8.7, 9.8, 7.3,12.8
Guadalupe,410288,52,12.7, 9.8, 7.2,12.9
Wilbarger,37748,  ~,  ~,  ~,  ~,  ~
Garza,12937,  ~,  ~,  ~,  ~,  ~
Hardin,248387,30,12.1, 9.7, 6.5,14.1
Polk,175330,29,16.5, 9.7, 6.3,14.6
Red River,45302,  ~,  ~,  ~,  ~,  ~
Orange,342805,44,12.8, 9.6, 6.9,13.0
Concho,8435,  ~,  ~,  ~,  ~,  ~
Titus,74840,  ~,  ~,  ~,  ~,  ~
Erath,157935,18,11.4, 9.3, 5.4,15.2
Van Zandt,233722,32,13.7, 9.2, 6.2,13.4
Anderson,172614,23,13.3, 9.2, 5.8,14.2
Houston,71667,  ~,  ~,  ~,  ~,  ~
Collin,2837305,287,10.1, 9.1, 8.1,10.3
Real,11869,  ~,  ~,  ~,  ~,  ~
Lamar,188492,25,13.3, 9.1, 5.7,14.0
Washington,113323,22,19.4, 8.9, 5.4,14.7
Archer,39125,  ~,  ~,  ~,  ~,  ~
Cass,115908,19,16.4, 8.8, 5.3,14.5
Tyler,85910,  ~,  ~,  ~,  ~,  ~
Stephens,33647,  ~,  ~,  ~,  ~,  ~
Cameron,191316,32,16.7, 8.6, 5.1,13.9
Burleson,59258,  ~,  ~,  ~,  ~,  ~
Jones,58861,  ~,  ~,  ~,  ~,  ~
Angelina,267849,33,12.3, 8.5, 5.8,12.1
Walker,205337,22,10.7, 8.4, 5.3,13.2
Gillespie,99585,22,22.1, 8.4, 5.0,14.9
Martin,14154,  ~,  ~,  ~,  ~,  ~
Chambers,139657,  ~,  ~,  ~,  ~,  ~
Young,70719,  ~,  ~,  ~,  ~,  ~
Crosby,11656,  ~,  ~,  ~,  ~,  ~
Briscoe,5272,  ~,  ~,  ~,  ~,  ~
Aransas,83146,  ~,  ~,  ~,  ~,  ~
Shackelford,14200,  ~,  ~,  ~,  ~,  ~
Wilson,141687,17,12.0, 8.2, 4.7,13.6
Madison,39694,  ~,  ~,  ~,  ~,  ~
Kerr,180372,34,18.9, 7.8, 5.3,11.7
Moore,35333,  ~,  ~,  ~,  ~,  ~
Trinity,58059,  ~,  ~,  ~,  ~,  ~
Rusk,173538,18,10.4, 7.6, 4.4,12.4
Gonzales,43633,  ~,  ~,  ~,  ~,  ~
Hartley,18519,  ~,  ~,  ~,  ~,  ~
Cherokee,160264,19,11.9, 7.5, 4.4,12.3
Sutton,6940,  ~,  ~,  ~,  ~,  ~
Eastland,73035,  ~,  ~,  ~,  ~,  ~
Floyd,10872,  ~,  ~,  ~,  ~,  ~
Ochiltree,22183,  ~,  ~,  ~,  ~,  ~
Mills,19510,  ~,  ~,  ~,  ~,  ~
Hardeman,13682,  ~,  ~,  ~,  ~,  ~
Throckmorton,6367,  ~,  ~,  ~,  ~,  ~
Collingsworth,8747,  ~,  ~,  ~,  ~,  ~
Shelby,79194,  ~,  ~,  ~,  ~,  ~
Jack,34435,  ~,  ~,  ~,  ~,  ~
Reeves,14458,  ~,  ~,  ~,  ~,  ~
Jim Wells,37180,  ~,  ~,  ~,  ~,  ~
Robertson,49367,  ~,  ~,  ~,  ~,  ~
Carson,25983,  ~,  ~,  ~,  ~,  ~
Stonewall,5240,  ~,  ~,  ~,  ~,  ~
Howard,89155,  ~,  ~,  ~,  ~,  ~
Marion,36118,  ~,  ~,  ~,  ~,  ~
San Saba,19429,  ~,  ~,  ~,  ~,  ~
Bandera,87528,  ~,  ~,  ~,  ~,  ~
Webb,49178,  ~,  ~,  ~,  ~,  ~
Frio,14745,  ~,  ~,  ~,  ~,  ~
San Jacinto,106819,  ~,  ~,  ~,  ~,  ~
Newton,51886,  ~,  ~,  ~,  ~,  ~
Donley,13621,  ~,  ~,  ~,  ~,  ~
Coleman,32336,  ~,  ~,  ~,  ~,  ~
San Augustine,28937,  ~,  ~,  ~,  ~,  ~
Coke,12471,0, 0.0, 0.0, 0.0, 0.0
Schleicher,6741,0, 0.0, 0.0, 0.0, 0.0
Crockett,5703,0, 0.0, 0.0, 0.0, 0.0
Kinney,6848,0, 0.0, 0.0, 0.0, 0.0
Dawson,22900,0, 0.0, 0.0, 0.0, 0.0
Starr,10863,0, 0.0, 0.0, 0.0, 0.0
Menard,6451,0, 0.0, 0.0, 0.0, 0.0
Oldham,8172,0, 0.0, 0.0, 0.0, 0.0
STATE,60593193,8982,14.8,11.1, 10.8,11.3

"Note: All rates are per 100,000. Rates are age-adjusted to the 2000 U.S. Standard Population."
"Rates generated on Jun 20, 2023."
"Cancer Incidence File, Apr 2022."
