state,Year,total_population,unemployed_rate
Ohio,2015,9142204,4.9
Ohio,2016,9176341,5.3
Ohio,2017,9253686,4.6
Ohio,2018,9284124,4.5
Ohio,2019,9313912,4.4
Oklahoma,2015,2981527,4.4
Oklahoma,2016,2996384,4.5
Oklahoma,2017,2991869,3.8
Oklahoma,2018,3005032,3.2
Oklahoma,2019,3024834,3.1
Oregon,2015,3244022,5
Oregon,2016,3306702,4.3
Oregon,2017,3347470,4.1
Oregon,2018,3383925,4.3
Oregon,2019,3418638,3.4
Pennsylvania,2015,10225852,5.3
Pennsylvania,2016,10242658,5.2
Pennsylvania,2017,10374421,4.9
Pennsylvania,2018,10402445,4.3
Pennsylvania,2019,10425767,4.5
Rhode Island,2015,857070,5.6
Rhode Island,2016,859062,4.8
Rhode Island,2017,884825,4.5
Rhode Island,2018,889929,3.8
Rhode Island,2019,894223,3.5
South Carolina,2015,3852349,5.4
South Carolina,2016,3917679,4.5
South Carolina,2017,3921470,4.1
South Carolina,2018,3973814,3.2
South Carolina,2019,4029822,2.7
South Dakota,2015,651021,2.8
South Dakota,2016,658342,3.2
South Dakota,2017,660995,3
South Dakota,2018,666201,2.8
South Dakota,2019,672462,2.7
Tennessee,2015,5184152,4.9
Tennessee,2016,5241716,4.7
Tennessee,2017,5312956,3.5
Tennessee,2018,5368885,3.5
Tennessee,2019,5426345,3.5
Texas,2015,20696766,4.5
Texas,2016,21076258,4.8
Texas,2017,21280466,4.1
Texas,2018,21596639,3.8
Texas,2019,21943443,3.5
Utah,2015,2164055,3.5
Utah,2016,2219183,3.2
Utah,2017,2284909,3.1
Utah,2018,2337116,2.8
Utah,2019,2389917,2.4
Vermont,2015,515234,3.3
Vermont,2016,515998,3.1
Vermont,2017,529048,3
Vermont,2018,531330,2.3
Vermont,2019,533736,2.1
Virginia,2015,6517537,4
Virginia,2016,6570569,4
Virginia,2017,6648412,3.4
Virginia,2018,6693479,3.1
Virginia,2019,6743227,2.8
Washington,2015,5669906,5.4
Washington,2016,5786076,4.9
Washington,2017,5897378,4.6
Washington,2018,5985376,4.6
Washington,2019,6070251,3.8
West Virginia,2015,1478094,6.4
West Virginia,2016,1470405,5.6
West Virginia,2017,1463610,5.4
West Virginia,2018,1456279,5.1
West Virginia,2019,1450977,5.2
Wisconsin,2015,4555288,4.2
Wisconsin,2016,4577736,3.6
Wisconsin,2017,4630515,3
Wisconsin,2018,4656684,3
Wisconsin,2019,4684115,3.1
Wyoming,2015,451469,4.7
Wyoming,2016,450188,5
Wyoming,2017,445517,4.3
Wyoming,2018,446415,3.9
Wyoming,2019,448761,4.2
